Order ID,Order Date,Region,City,Category,Sub-Category,Quantity,Unit Price,Discount,Sales,Profit,Payment Mode,Year,Month,Month_Name,Profit_Margin
10020,2024-01-11,West,Pune,Books,Textbook,5,36393,5,172866.75,39437.91,Debit Card,2024,1,January,0.22814051863646423
10021,2023-10-15,West,Ahmedabad,Kitchen,Refrigerator,1,6574,20,5259.2,580.75,UPI,2023,10,October,0.11042554000608458
10022,2024-03-16,North,Lucknow,Groceries,Wheat,5,26762,15,113738.5,27267.31,Credit Card,2024,3,March,0.23973685251695778
10023,2023-11-02,West,Surat,Books,Comics,1,47699,20,38159.2,8535.56,UPI,2023,11,November,0.22368288643367787
10024,2025-07-10,East,Ranchi,Beauty,Face Cream,1,28257,10,25431.3,3959.79,Credit Card,2025,7,July,0.1557053709405339
10025,2025-06-21,North,Chandigarh,Electronics,Headphones,5,24056,20,96224.0,20551.56,COD,2025,6,June,0.21358039574326573
10026,2024-01-13,South,Chennai,Groceries,Rice,2,65756,5,124936.4,19544.76,UPI,2024,1,January,0.15643767548928894
10027,2025-04-22,North,Lucknow,Beauty,Foundation,1,8276,0,8276.0,537.47,Net Banking,2025,4,April,0.06494320927984534
10028,2024-12-12,East,Bhubaneswar,Furniture,Table,3,731,0,2193.0,214.1,UPI,2024,12,December,0.09762881896944824
10029,2025-08-27,North,Delhi,Toys,RC Car,2,67085,20,107336.0,22034.77,Net Banking,2025,8,August,0.20528778788104643
10030,2024-04-22,North,Chandigarh,Groceries,Sugar,5,79453,15,337675.25,80309.87,Debit Card,2024,4,April,0.2378316740714636
10031,2025-01-07,West,Goa,Groceries,Wheat,2,25545,10,45981.0,9818.01,Credit Card,2025,1,January,0.21352319436288902
10032,2023-12-11,North,Jaipur,Sports,Cricket Bat,4,76643,5,291243.4,40522.22,UPI,2023,12,December,0.1391352387727928
10033,2024-06-24,West,Ahmedabad,Furniture,Sofa,4,60561,20,193795.2,21970.55,Net Banking,2024,6,June,0.11336993898713693
10034,2025-07-11,East,Guwahati,Toys,RC Car,4,19080,20,61056.0,10008.03,Debit Card,2025,7,July,0.1639155856918239
10035,2023-12-31,South,Thiruvananthapuram,Toys,Action Figure,2,48271,20,77233.6,13625.93,Net Banking,2023,12,December,0.17642489797186717
10036,2025-03-08,South,Thiruvananthapuram,Beauty,Lipstick,4,7232,15,24588.8,4643.94,Credit Card,2025,3,March,0.18886403565851118
10037,2024-12-02,West,Surat,Sports,Dumbbells,2,78467,0,156934.0,9444.77,Credit Card,2024,12,December,0.06018307059018441
10038,2023-10-19,North,Lucknow,Sports,Yoga Mat,4,34124,5,129671.2,8392.19,UPI,2023,10,October,0.0647189969708
10039,2025-09-30,East,Ranchi,Toys,Puzzle,2,60907,0,121814.0,24378.77,COD,2025,9,September,0.20013110151542515
10040,2023-11-16,North,Lucknow,Kitchen,Refrigerator,5,9102,10,40959.0,7785.75,Debit Card,2023,11,November,0.19008642789130595
10041,2024-09-18,East,Guwahati,Toys,Board Game,5,76782,20,307128.0,47122.1,UPI,2024,9,September,0.1534282123414342
10042,2025-07-01,North,Amritsar,Toys,Doll,5,57559,5,273405.25,26969.18,Debit Card,2025,7,July,0.09864177809314195
10043,2024-02-11,West,Surat,Electronics,Camera,2,68630,0,137260.0,16783.04,Net Banking,2024,2,February,0.12227189275826898
10044,2024-10-23,South,Coimbatore,Groceries,Rice,5,64105,20,256420.0,61655.17,Net Banking,2024,10,October,0.24044602605101006
10045,2023-11-03,East,Guwahati,Books,Textbook,2,68202,0,136404.0,33860.63,Debit Card,2023,11,November,0.24823780827541714
10046,2023-11-20,West,Pune,Books,Biography,1,36207,15,30775.95,5230.85,COD,2023,11,November,0.16996550878201974
10047,2025-10-01,North,Delhi,Beauty,Perfume,3,55843,10,150776.1,23835.95,Credit Card,2025,10,October,0.15808838403433967
10048,2025-09-03,West,Surat,Sports,Tennis Racket,5,60512,5,287432.0,41217.09,Credit Card,2025,9,September,0.14339770797962648
10049,2025-01-22,North,Delhi,Toys,Puzzle,1,70834,10,63750.6,4232.48,UPI,2025,1,January,0.06639121827872992
10050,2024-04-28,West,Ahmedabad,Clothing,Shoes,1,33485,0,33485.0,6131.25,COD,2024,4,April,0.18310437509332536
10051,2024-05-04,East,Patna,Beauty,Perfume,5,8568,5,40698.0,3935.7,UPI,2024,5,May,0.09670499778858911
10052,2025-05-06,East,Ranchi,Furniture,Sofa,4,64645,5,245651.0,51927.61,UPI,2025,5,May,0.21138774114495767
10053,2025-09-02,West,Goa,Books,Biography,5,12976,0,64880.0,11967.13,COD,2025,9,September,0.18445021578298396
10054,2024-04-15,West,Pune,Clothing,Women's Wear,3,27698,20,66475.2,8946.95,UPI,2024,4,April,0.13459079476255809
10055,2023-12-09,East,Bhubaneswar,Sports,Tennis Racket,2,28261,15,48043.7,10879.68,Debit Card,2023,12,December,0.22645383265651897
10056,2024-05-19,North,Jaipur,Furniture,Bed,5,42462,0,212310.0,11609.02,Net Banking,2024,5,May,0.05467957232348924
10057,2023-12-05,East,Patna,Home Decor,Wall Art,4,62926,0,251704.0,40267.43,Credit Card,2023,12,December,0.15997930108381272
10058,2024-10-16,East,Patna,Toys,Puzzle,4,73473,15,249808.2,56964.33,Net Banking,2024,10,October,0.22803226635474735
10059,2024-10-09,West,Pune,Furniture,Cabinet,3,29226,15,74526.3,17899.47,Net Banking,2024,10,October,0.24017655512215152
10060,2025-05-16,West,Mumbai,Home Decor,Vase,2,9860,10,17748.0,4403.6,Credit Card,2025,5,May,0.2481180978138382
10061,2025-04-30,West,Ahmedabad,Sports,Football,5,17665,0,88325.0,17529.47,UPI,2025,4,April,0.19846555335409002
10062,2024-04-09,South,Chennai,Kitchen,Cookware Set,2,13751,15,23376.7,5552.74,Debit Card,2024,4,April,0.23753309919706372
10063,2025-01-26,West,Pune,Kitchen,Juicer,5,11226,10,50517.0,2567.28,Debit Card,2025,1,January,0.050820119959617556
10064,2023-12-27,West,Pune,Toys,Action Figure,4,70618,5,268348.4,50743.1,COD,2023,12,December,0.18909410303918336
10065,2024-06-23,South,Bangalore,Books,Biography,3,37492,15,95604.6,19263.79,UPI,2024,6,June,0.20149438416143156
10066,2024-06-22,North,Chandigarh,Kitchen,Juicer,2,34997,0,69994.0,11129.92,COD,2024,6,June,0.15901248678458155
10067,2025-05-28,West,Surat,Kitchen,Mixer Grinder,2,71572,10,128829.6,14012.66,Credit Card,2025,5,May,0.10876894750895756
10068,2024-02-23,West,Goa,Books,Biography,5,38936,5,184946.0,30144.65,COD,2024,2,February,0.16299162998929417
10069,2023-11-24,East,Bhubaneswar,Home Decor,Vase,1,19506,0,19506.0,2911.1,Net Banking,2023,11,November,0.14924125909976418
10070,2025-01-02,East,Ranchi,Sports,Tennis Racket,5,48227,10,217021.5,52730.72,UPI,2025,1,January,0.24297463615356082
10071,2024-08-31,South,Bangalore,Sports,Tennis Racket,3,2697,5,7686.45,387.48,Net Banking,2024,8,August,0.05041078781492107
10072,2025-06-18,East,Ranchi,Toys,RC Car,4,47678,20,152569.6,13719.94,Debit Card,2025,6,June,0.0899257781366668
10073,2025-04-01,North,Chandigarh,Home Decor,Cushion,1,39545,15,33613.25,4294.42,COD,2025,4,April,0.1277597376034748
10074,2024-03-14,West,Pune,Toys,Puzzle,5,60787,15,258344.75,33333.56,Credit Card,2024,3,March,0.129027433303754
10075,2024-12-09,North,Amritsar,Toys,Action Figure,1,26035,20,20828.0,2957.26,Net Banking,2024,12,December,0.14198482811599772
10076,2025-01-17,West,Ahmedabad,Clothing,Kids Wear,5,41865,10,188392.5,36655.65,COD,2025,1,January,0.1945706437358175
10077,2025-03-04,North,Lucknow,Kitchen,Cookware Set,4,76576,10,275673.6,39540.52,Net Banking,2025,3,March,0.14343237800065003
10078,2024-04-10,South,Bangalore,Electronics,Camera,2,33749,20,53998.4,6954.99,COD,2024,4,April,0.12879992740525645
10079,2024-07-05,West,Pune,Kitchen,Refrigerator,4,46014,15,156447.6,8166.96,UPI,2024,7,July,0.052202526596764665
10080,2025-02-17,West,Surat,Beauty,Lipstick,5,55423,10,249403.5,15673.19,Debit Card,2025,2,February,0.06284270268861504
10081,2023-12-05,South,Coimbatore,Furniture,Cabinet,5,5463,5,25949.25,1306.37,Debit Card,2023,12,December,0.05034326618303033
10082,2024-12-13,South,Hyderabad,Sports,Yoga Mat,1,4714,0,4714.0,547.63,COD,2024,12,December,0.11617098005939754
10083,2025-06-20,East,Ranchi,Sports,Tennis Racket,4,31170,10,112212.0,22964.29,Debit Card,2025,6,June,0.2046509285994368
10084,2024-07-20,West,Goa,Home Decor,Vase,1,8927,20,7141.6,1373.47,COD,2024,7,July,0.19231964825809342
10085,2024-11-01,East,Bhubaneswar,Furniture,Cabinet,1,16256,5,15443.2,1764.79,Credit Card,2024,11,November,0.11427618628263572
10086,2025-06-02,East,Guwahati,Toys,Board Game,2,22240,0,44480.0,8602.03,UPI,2025,6,June,0.19339096223021585
10087,2024-03-29,West,Goa,Groceries,Oil,3,62172,0,186516.0,23035.44,Debit Card,2024,3,March,0.12350382808981535
10088,2023-11-15,North,Lucknow,Sports,Tennis Racket,5,39458,5,187425.5,44132.79,COD,2023,11,November,0.23546843945994542
10089,2024-12-25,South,Thiruvananthapuram,Books,Comics,4,34376,5,130628.8,15353.38,Net Banking,2024,12,December,0.11753441813750107
10090,2025-02-26,West,Mumbai,Clothing,Kids Wear,4,53084,15,180485.6,19220.42,Credit Card,2025,2,February,0.10649281715549605
10091,2025-06-08,East,Guwahati,Beauty,Lipstick,3,60656,0,181968.0,26322.7,Debit Card,2025,6,June,0.14465565374131717
10092,2025-01-29,North,Chandigarh,Electronics,Camera,1,73564,15,62529.4,13309.3,Credit Card,2025,1,January,0.21284867598281768
10093,2025-01-11,East,Patna,Furniture,Sofa,5,26060,5,123785.0,24340.25,UPI,2025,1,January,0.19663327543725007
10094,2025-01-08,South,Hyderabad,Beauty,Perfume,4,72702,5,276267.6,35015.76,Debit Card,2025,1,January,0.1267458073259405
10095,2024-01-12,East,Patna,Electronics,Camera,2,40818,20,65308.8,5824.16,UPI,2024,1,January,0.08917879366945955
10096,2024-05-31,West,Pune,Groceries,Spices,3,24183,0,72549.0,17203.3,Credit Card,2024,5,May,0.23712663165584638
10097,2024-10-17,East,Patna,Groceries,Oil,4,19526,15,66388.4,12866.73,Credit Card,2024,10,October,0.19380991257508842
10098,2023-11-26,West,Mumbai,Books,Fiction,5,54037,0,270185.0,58810.96,Net Banking,2023,11,November,0.21766922664100524
10099,2024-02-12,South,Thiruvananthapuram,Sports,Yoga Mat,5,63813,0,319065.0,36797.04,Credit Card,2024,2,February,0.11532772319119929
10100,2023-12-24,North,Lucknow,Electronics,Mobile,3,74680,10,201636.0,41541.42,Credit Card,2023,12,December,0.20602184133785634
10101,2025-06-16,South,Coimbatore,Clothing,Accessories,4,13189,10,47480.4,10986.33,Net Banking,2025,6,June,0.2313866353274193
10102,2024-11-04,East,Bhubaneswar,Sports,Dumbbells,4,1138,10,4096.8,888.13,Credit Card,2024,11,November,0.2167862722124585
10103,2025-08-14,East,Ranchi,Furniture,Sofa,5,76226,20,304904.0,22939.07,Credit Card,2025,8,August,0.07523374570356571
10104,2025-02-10,West,Surat,Toys,Doll,3,31343,15,79924.65,18762.37,Net Banking,2025,2,February,0.23475073084461429
10105,2023-11-17,North,Lucknow,Home Decor,Lamp,4,61338,15,208549.2,40557.88,Net Banking,2023,11,November,0.19447631542101335
10106,2024-05-19,West,Mumbai,Furniture,Table,1,8623,20,6898.4,677.28,Debit Card,2024,5,May,0.09817928795082918
10107,2024-10-27,South,Chennai,Sports,Dumbbells,3,41142,5,117254.7,7179.82,Net Banking,2024,10,October,0.06123268406298425
10108,2024-06-08,South,Coimbatore,Clothing,Kids Wear,5,13088,10,58896.0,11457.13,Debit Card,2024,6,June,0.19453154713393098
10109,2024-09-07,North,Jaipur,Furniture,Bed,1,44965,10,40468.5,3617.94,Debit Card,2024,9,September,0.08940138626339005
10110,2025-01-05,West,Goa,Toys,RC Car,4,28822,10,103759.2,25441.67,Net Banking,2025,1,January,0.2451991726998666
10111,2024-10-22,North,Amritsar,Electronics,Camera,2,30299,10,54538.2,10554.74,Credit Card,2024,10,October,0.19352930606437324
10112,2024-04-12,North,Chandigarh,Kitchen,Microwave,2,44595,20,71352.0,5019.37,Net Banking,2024,4,April,0.07034659154613745
10113,2023-10-04,South,Coimbatore,Furniture,Table,3,32301,20,77522.4,10882.22,Net Banking,2023,10,October,0.1403751689834164
10114,2023-11-30,South,Bangalore,Home Decor,Cushion,3,78217,0,234651.0,18949.32,COD,2023,11,November,0.08075533451807151
10115,2024-11-23,South,Chennai,Toys,Board Game,5,19154,15,81404.5,8267.53,COD,2024,11,November,0.10156109305996598
10116,2025-05-15,West,Pune,Kitchen,Juicer,4,25790,20,82528.0,4856.22,Debit Card,2025,5,May,0.058843301667312914
10117,2024-05-10,East,Kolkata,Beauty,Lipstick,3,78010,10,210627.0,20117.45,UPI,2024,5,May,0.09551220878614802
10118,2025-01-30,East,Ranchi,Kitchen,Microwave,4,8753,5,33261.4,4190.2,UPI,2025,1,January,0.12597786022235985
10119,2024-09-26,West,Surat,Kitchen,Microwave,5,49477,20,197908.0,38220.91,Credit Card,2024,9,September,0.19312463366816907
10120,2025-01-10,South,Coimbatore,Sports,Yoga Mat,1,54160,15,46036.0,9505.54,COD,2025,1,January,0.20648058041532716
10121,2025-05-16,South,Thiruvananthapuram,Sports,Football,2,58592,5,111324.8,9680.25,Debit Card,2025,5,May,0.08695501810917244
10122,2025-04-25,South,Hyderabad,Electronics,Laptop,1,6284,0,6284.0,888.46,Debit Card,2025,4,April,0.14138446849140676
10123,2025-06-23,North,Delhi,Groceries,Spices,4,79276,20,253683.2,28531.58,UPI,2025,6,June,0.11246933182804379
10124,2024-12-02,North,Jaipur,Clothing,Shoes,3,22072,20,52972.8,2832.75,Net Banking,2024,12,December,0.053475557267125766
10125,2024-11-22,North,Lucknow,Kitchen,Juicer,1,61175,15,51998.75,10749.96,Debit Card,2024,11,November,0.20673496959061513
10126,2024-06-03,East,Patna,Books,Fiction,3,53034,15,135236.7,16863.94,Net Banking,2024,6,June,0.12469943439909431
10127,2025-02-09,North,Lucknow,Groceries,Oil,3,20304,10,54820.8,8867.14,UPI,2025,2,February,0.1617477307883139
10128,2024-11-12,West,Ahmedabad,Home Decor,Cushion,3,19607,0,58821.0,9062.46,UPI,2024,11,November,0.15406844494313254
10129,2025-07-31,North,Jaipur,Furniture,Table,1,26827,10,24144.3,4041.1,Credit Card,2025,7,July,0.1673728374813103
10130,2024-03-07,South,Bangalore,Groceries,Spices,5,31262,15,132863.5,12796.17,Credit Card,2024,3,March,0.09631064965171021
10131,2024-07-03,South,Hyderabad,Electronics,Headphones,4,61765,5,234707.0,30160.38,Net Banking,2024,7,July,0.12850226026492606
10132,2024-08-22,East,Patna,Clothing,Women's Wear,4,2962,20,9478.4,583.27,Credit Card,2024,8,August,0.06153675725860905
10133,2024-08-01,East,Kolkata,Toys,Puzzle,3,17679,15,45081.45,2373.83,UPI,2024,8,August,0.05265646956785995
10134,2024-01-23,North,Chandigarh,Furniture,Sofa,1,79310,15,67413.5,6655.67,UPI,2024,1,January,0.09872903795233892
10135,2024-08-06,South,Chennai,Electronics,Camera,4,33270,5,126426.0,12467.79,Debit Card,2024,8,August,0.09861729391106261
10136,2024-03-24,West,Mumbai,Toys,Doll,3,35928,5,102394.8,10207.76,Debit Card,2024,3,March,0.09969021864391552
10137,2025-03-26,East,Kolkata,Toys,Board Game,1,62438,5,59316.1,4810.78,UPI,2025,3,March,0.08110411844339058
10138,2024-10-18,West,Surat,Furniture,Bed,4,41162,0,164648.0,22384.0,Debit Card,2024,10,October,0.13595063407997668
10139,2025-01-15,East,Guwahati,Electronics,Mobile,4,78576,5,298588.8,66122.26,Credit Card,2025,1,January,0.22144923051366963
10140,2025-08-13,East,Patna,Books,Non-Fiction,3,38456,5,109599.6,26199.38,Debit Card,2025,8,August,0.23904631038799412
10141,2024-09-29,South,Hyderabad,Clothing,Kids Wear,1,51518,10,46366.2,11129.47,UPI,2024,9,September,0.24003411968200974
10142,2023-12-05,North,Delhi,Electronics,Mobile,3,25964,0,77892.0,7594.54,COD,2023,12,December,0.0975008986802239
10143,2024-04-20,East,Patna,Furniture,Cabinet,5,38240,5,181640.0,26909.05,Debit Card,2024,4,April,0.14814495705791675
10144,2024-04-02,South,Hyderabad,Sports,Tennis Racket,2,40778,0,81556.0,19814.83,COD,2024,4,April,0.2429598067585463
10145,2024-08-14,East,Bhubaneswar,Sports,Football,5,22147,5,105198.25,7812.18,UPI,2024,8,August,0.07426150149836143
10146,2024-11-13,South,Chennai,Furniture,Table,1,48776,15,41459.6,9356.05,UPI,2024,11,November,0.22566667309863095
10147,2024-01-01,West,Ahmedabad,Electronics,Smartwatch,2,74802,15,127163.4,8863.77,Net Banking,2024,1,January,0.06970378269218974
10148,2024-01-14,North,Delhi,Kitchen,Mixer Grinder,1,77440,20,61952.0,5189.49,UPI,2024,1,January,0.08376630294421487
10149,2024-06-14,East,Ranchi,Kitchen,Juicer,1,42881,5,40736.95,3037.21,Net Banking,2024,6,June,0.07455663715619358
10150,2024-03-04,West,Surat,Books,Non-Fiction,4,11205,10,40338.0,6759.61,UPI,2024,3,March,0.1675742476077148
10151,2025-08-24,North,Jaipur,Toys,Puzzle,4,67259,5,255584.2,24050.17,UPI,2025,8,August,0.09409881361993425
10152,2025-08-25,South,Coimbatore,Groceries,Spices,3,21886,10,59092.2,14240.48,Net Banking,2025,8,August,0.24098747381211058
10153,2025-07-11,North,Jaipur,Kitchen,Microwave,3,8844,0,26532.0,3837.38,UPI,2025,7,July,0.1446321423187095
10154,2023-12-29,West,Goa,Kitchen,Cookware Set,3,32484,5,92579.4,14375.96,COD,2023,12,December,0.1552824926495527
10155,2023-12-12,North,Jaipur,Home Decor,Clock,2,26027,5,49451.3,8546.38,UPI,2023,12,December,0.17282417246867118
10156,2024-12-22,West,Surat,Beauty,Foundation,4,43826,5,166538.8,17272.57,Credit Card,2024,12,December,0.10371499014043575
10157,2024-04-07,East,Patna,Toys,Action Figure,1,39221,15,33337.85,2238.25,Debit Card,2024,4,April,0.06713840274642786
10158,2025-02-03,North,Lucknow,Toys,RC Car,1,54312,0,54312.0,10936.17,Net Banking,2025,2,February,0.20135826336721166
10159,2025-06-21,East,Ranchi,Clothing,Kids Wear,1,15748,0,15748.0,2754.67,COD,2025,6,June,0.1749218948437897
10160,2024-07-31,West,Pune,Electronics,Headphones,2,68044,10,122479.2,10609.67,COD,2024,7,July,0.0866242594660971
10161,2025-09-26,West,Pune,Home Decor,Clock,5,8465,0,42325.0,8053.7,COD,2025,9,September,0.19028233904311873
10162,2024-07-22,East,Patna,Furniture,Sofa,1,63767,20,51013.6,4109.49,COD,2024,7,July,0.08055675349318613
10163,2024-09-14,East,Patna,Books,Biography,5,43178,0,215890.0,19440.44,Credit Card,2024,9,September,0.09004789476122099
10164,2024-06-21,South,Hyderabad,Kitchen,Juicer,5,44801,15,190404.25,16507.93,UPI,2024,6,June,0.08669937777124198
10165,2025-08-21,North,Amritsar,Home Decor,Cushion,4,71174,5,270461.2,51178.34,Credit Card,2025,8,August,0.1892261810566543
10166,2025-09-18,West,Surat,Books,Comics,2,56852,5,108018.8,15879.48,Debit Card,2025,9,September,0.14700663217884294
10167,2025-04-01,West,Pune,Furniture,Table,3,8167,15,20825.85,3866.48,Net Banking,2025,4,April,0.18565772825598956
10168,2024-04-07,West,Goa,Sports,Dumbbells,2,59433,10,106979.4,24846.59,Credit Card,2024,4,April,0.23225583617032813
10169,2024-03-21,South,Bangalore,Groceries,Wheat,3,42341,0,127023.0,22887.76,COD,2024,3,March,0.18018595057587994
10170,2025-07-28,North,Lucknow,Sports,Tennis Racket,5,23230,10,104535.0,22068.31,Debit Card,2025,7,July,0.21110929353804947
10171,2024-06-29,East,Guwahati,Sports,Football,3,39790,0,119370.0,25753.35,Debit Card,2024,6,June,0.21574390550389544
10172,2024-10-29,North,Delhi,Kitchen,Mixer Grinder,3,15794,15,40274.7,4036.0,Net Banking,2024,10,October,0.10021179549444192
10173,2025-01-16,South,Hyderabad,Clothing,Men's Wear,1,10635,0,10635.0,1958.69,UPI,2025,1,January,0.18417395392571698
10174,2025-04-16,East,Patna,Toys,Action Figure,1,64954,10,58458.6,6815.4,COD,2025,4,April,0.1165850704601205
10175,2024-09-28,East,Guwahati,Furniture,Bed,1,47269,20,37815.2,3812.6,Net Banking,2024,9,September,0.1008218917260784
10176,2023-12-23,North,Jaipur,Beauty,Face Cream,5,21181,15,90019.25,4561.6,Credit Card,2023,12,December,0.050673605923177545
10177,2024-06-17,North,Jaipur,Electronics,Camera,2,40371,0,80742.0,17592.37,Debit Card,2024,6,June,0.21788375318917044
10178,2024-11-13,West,Ahmedabad,Toys,Board Game,5,18936,10,85212.0,9790.15,Debit Card,2024,11,November,0.11489168192273388
10179,2024-10-21,East,Kolkata,Furniture,Cabinet,1,44366,20,35492.8,8735.61,UPI,2024,10,October,0.2461234391200469
10180,2025-03-25,West,Mumbai,Books,Biography,1,54330,0,54330.0,8921.7,UPI,2025,3,March,0.16421314191054667
10181,2024-08-03,South,Chennai,Groceries,Oil,4,27952,20,89446.4,11672.93,COD,2024,8,August,0.130501954242988
10182,2024-08-02,South,Thiruvananthapuram,Clothing,Accessories,5,10007,0,50035.0,11418.45,UPI,2024,8,August,0.22820925352253424
10183,2023-12-02,East,Ranchi,Home Decor,Lamp,2,8172,0,16344.0,3724.06,Net Banking,2023,12,December,0.22785487028879098
10184,2025-02-27,East,Bhubaneswar,Electronics,Mobile,5,27145,10,122152.5,24218.26,Credit Card,2025,2,February,0.19826249974417223
10185,2024-10-09,South,Bangalore,Beauty,Perfume,4,73974,0,295896.0,36664.27,Net Banking,2024,10,October,0.12390931273150024
10186,2025-04-20,North,Lucknow,Sports,Cricket Bat,4,36775,5,139745.0,17301.9,Net Banking,2025,4,April,0.1238105120040073
10187,2024-08-03,South,Hyderabad,Kitchen,Cookware Set,2,8566,15,14562.2,2893.23,Credit Card,2024,8,August,0.19868083119308894
10188,2024-06-23,South,Coimbatore,Toys,Puzzle,2,10036,0,20072.0,2542.42,Net Banking,2024,6,June,0.1266650059784775
10189,2023-12-04,North,Chandigarh,Furniture,Chair,4,33969,10,122288.4,16649.69,UPI,2023,12,December,0.13615101677673433
10190,2023-10-19,East,Ranchi,Clothing,Shoes,2,29047,20,46475.2,7880.96,Debit Card,2023,10,October,0.16957344992598203
10191,2024-08-22,East,Patna,Home Decor,Wall Art,4,15118,15,51401.2,2930.42,Net Banking,2024,8,August,0.05701073126697432
10192,2025-05-14,East,Bhubaneswar,Sports,Football,4,24282,10,87415.2,6313.56,Debit Card,2025,5,May,0.0722249677401642
10193,2023-10-10,South,Thiruvananthapuram,Books,Non-Fiction,1,57488,20,45990.4,10796.45,Debit Card,2023,10,October,0.23475442701085444
10194,2024-08-16,West,Surat,Kitchen,Refrigerator,1,68404,5,64983.8,10469.59,COD,2024,8,August,0.16111076914554087
10195,2025-01-02,North,Delhi,Furniture,Sofa,4,27157,15,92333.8,8406.91,Net Banking,2025,1,January,0.09104910661101351
10196,2024-08-24,West,Ahmedabad,Sports,Yoga Mat,1,13561,0,13561.0,1296.86,Debit Card,2024,8,August,0.0956315905906644
10197,2024-04-17,West,Mumbai,Furniture,Table,4,72077,10,259477.2,34177.07,Debit Card,2024,4,April,0.13171511793714438
10198,2024-01-22,West,Ahmedabad,Clothing,Accessories,3,40130,5,114370.5,17660.94,Net Banking,2024,1,January,0.1544186656524191
10199,2024-06-20,West,Surat,Furniture,Sofa,2,48439,10,87190.2,19167.89,Net Banking,2024,6,June,0.21983995907796977
10200,2024-10-30,North,Delhi,Beauty,Face Cream,5,50870,20,203480.0,18437.07,COD,2024,10,October,0.09060875761745626
10201,2024-07-11,West,Goa,Clothing,Men's Wear,1,73982,15,62884.7,6713.01,Debit Card,2024,7,July,0.10675108571719354
10202,2024-05-03,East,Bhubaneswar,Toys,Board Game,4,27226,20,87123.2,7321.18,Debit Card,2024,5,May,0.08403249651068832
10203,2024-02-10,North,Jaipur,Toys,Doll,2,39988,5,75977.2,11786.61,COD,2024,2,February,0.15513351373833204
10204,2025-09-06,West,Surat,Sports,Dumbbells,4,65084,10,234302.4,21939.1,UPI,2025,9,September,0.0936358313017707
10205,2025-05-16,East,Guwahati,Groceries,Rice,2,32591,5,61922.9,11144.15,UPI,2025,5,May,0.17996815394627835
10206,2025-01-15,West,Mumbai,Clothing,Kids Wear,3,19535,10,52744.5,5396.94,Debit Card,2025,1,January,0.1023223274464636
10207,2024-05-13,West,Mumbai,Books,Non-Fiction,4,22065,10,79434.0,9292.82,Debit Card,2024,5,May,0.1169879396731878
10208,2024-09-14,West,Mumbai,Beauty,Shampoo,2,48559,5,92262.1,6636.68,UPI,2024,9,September,0.0719328955226469
10209,2024-12-27,West,Mumbai,Sports,Cricket Bat,3,47479,0,142437.0,13234.4,Credit Card,2024,12,December,0.09291406025119878
