Region,City,Category,Sub-Category,Quantity,Unit Price,Discount,Sales,Payment Mode,Year,Month,Sales_log
East,Ranchi,Home Decor,Lamp,2,8172,0,16344.0,Net Banking,2023,12,9.70167731915831
East,Bhubaneswar,Electronics,Mobile,5,27145,10,122152.5,Credit Card,2025,2,11.713033729570517
South,Bangalore,Beauty,Perfume,4,73974,0,295896.0,Net Banking,2024,10,12.597766699776582
North,Lucknow,Sports,Cricket Bat,4,36775,5,139745.0,Net Banking,2025,4,11.847581768067462
South,Hyderabad,Kitchen,Cookware Set,2,8566,15,14562.2,Credit Card,2024,8,9.586253077822322
South,Coimbatore,Toys,Puzzle,2,10036,0,20072.0,Net Banking,2024,6,9.907130907450927
North,Chandigarh,Furniture,Chair,4,33969,10,122288.4,UPI,2023,12,11.714145645801276
East,Ranchi,Clothing,Shoes,2,29047,20,46475.2,Debit Card,2023,10,10.746695632589818
East,Patna,Home Decor,Wall Art,4,15118,15,51401.2,Net Banking,2024,8,10.847436252083716
East,Bhubaneswar,Sports,Football,4,24282,10,87415.2,Debit Card,2025,5,11.378435899158644
South,Thiruvananthapuram,Books,Non-Fiction,1,57488,20,45990.4,Debit Card,2023,10,10.736209701470944
West,Surat,Kitchen,Refrigerator,1,68404,5,64983.8,COD,2024,8,11.081908675377653
North,Delhi,Furniture,Sofa,4,27157,15,92333.8,Net Banking,2025,1,11.433176380851743
West,Ahmedabad,Sports,Yoga Mat,1,13561,0,13561.0,Debit Card,2024,8,9.515027043243787
West,Mumbai,Furniture,Table,4,72077,10,259477.2,Debit Card,2024,4,12.466427970352106
West,Ahmedabad,Clothing,Accessories,3,40130,5,114370.5,Net Banking,2024,1,11.647207201016704
West,Surat,Furniture,Sofa,2,48439,10,87190.2,Net Banking,2024,6,11.375858687373372
North,Delhi,Beauty,Face Cream,5,50870,20,203480.0,COD,2024,10,12.223327913412536
West,Goa,Clothing,Men's Wear,1,73982,15,62884.7,Debit Card,2024,7,11.049074071849692
East,Bhubaneswar,Toys,Board Game,4,27226,20,87123.2,Debit Card,2024,5,11.375089965811199
North,Jaipur,Toys,Doll,2,39988,5,75977.2,COD,2024,2,11.238201736016139
West,Surat,Sports,Dumbbells,4,65084,10,234302.4,UPI,2025,9,12.364372135700885
East,Guwahati,Groceries,Rice,2,32591,5,61922.9,UPI,2025,5,11.033661490776293
West,Mumbai,Clothing,Kids Wear,3,19535,10,52744.5,Debit Card,2025,1,10.873233739642501
West,Mumbai,Books,Non-Fiction,4,22065,10,79434.0,Debit Card,2024,5,11.282694356154124
West,Mumbai,Beauty,Shampoo,2,48559,5,92262.1,UPI,2024,9,11.432399557241013
West,Mumbai,Sports,Cricket Bat,3,47479,0,142437.0,Credit Card,2024,12,11.86666209629342
East,Ranchi,Electronics,Headphones,3,62485,5,178082.25,Net Banking,2023,12,12.090006416567457
West,Mumbai,Groceries,Spices,5,18762,5,89119.5,Credit Card,2024,3,11.3977446655583
South,Bangalore,Electronics,Headphones,5,76126,10,342567.0,COD,2024,5,12.744225457123916
West,Surat,Clothing,Women's Wear,2,60550,10,108990.0,Debit Card,2025,3,11.59902058899495
South,Chennai,Groceries,Oil,3,42839,5,122091.15,COD,2024,1,11.712531366467713
South,Bangalore,Furniture,Sofa,4,21265,0,85060.0,Net Banking,2024,3,11.35112392514576
South,Bangalore,Furniture,Bed,3,50927,15,129863.85,UPI,2025,7,11.7742495732782
East,Patna,Books,Fiction,4,29195,15,99263.0,UPI,2025,3,11.505538246536211
North,Delhi,Sports,Tennis Racket,5,39970,20,159880.0,Net Banking,2024,12,11.982185067496717
North,Jaipur,Electronics,Headphones,4,19169,10,69008.4,UPI,2025,3,11.141998006184734
South,Coimbatore,Toys,RC Car,3,12676,15,32323.8,UPI,2024,11,10.383590016459278
West,Pune,Beauty,Shampoo,4,16526,15,56188.4,Debit Card,2025,1,10.93648340599264
South,Coimbatore,Furniture,Chair,4,4135,15,14059.0,Debit Card,2024,3,9.551089165364656
West,Ahmedabad,Beauty,Lipstick,2,22859,5,43432.1,Credit Card,2024,10,10.678977102212437
West,Pune,Books,Non-Fiction,2,77443,15,131653.1,Net Banking,2025,9,11.787933307622199
West,Pune,Kitchen,Mixer Grinder,3,70729,0,212187.0,UPI,2023,11,12.265227953138856
West,Mumbai,Kitchen,Mixer Grinder,5,57741,0,288705.0,Net Banking,2024,5,12.573164148254602
North,Chandigarh,Groceries,Rice,5,65635,10,295357.5,COD,2024,7,12.595945151735517
North,Jaipur,Groceries,Spices,3,17427,10,47052.9,Net Banking,2025,9,10.759049032120272
South,Coimbatore,Clothing,Accessories,5,41707,10,187681.5,Net Banking,2024,5,12.142506984344195
West,Goa,Kitchen,Cookware Set,3,12925,20,31020.0,Net Banking,2024,8,10.3424196734772
East,Ranchi,Sports,Cricket Bat,4,28451,20,91043.2,UPI,2024,11,11.4191003818637
North,Amritsar,Home Decor,Wall Art,1,46500,20,37200.0,UPI,2024,2,10.524090921620362
South,Coimbatore,Home Decor,Clock,4,73548,20,235353.6,UPI,2024,11,12.368848591996258
East,Bhubaneswar,Home Decor,Clock,3,51697,5,147336.45,COD,2025,8,11.900480813177849
East,Guwahati,Groceries,Sugar,1,39944,15,33952.4,Debit Card,2025,7,10.432744275247844
West,Surat,Beauty,Shampoo,4,18454,20,59052.8,Debit Card,2025,2,10.986204171798853
South,Hyderabad,Electronics,Headphones,2,30222,0,60444.0,Net Banking,2024,12,11.009489139636091
South,Bangalore,Books,Biography,5,7034,15,29894.5,COD,2024,2,10.305463246380024
East,Guwahati,Electronics,Headphones,5,57335,20,229340.0,Net Banking,2025,7,12.34296525792115
South,Thiruvananthapuram,Clothing,Women's Wear,4,9093,10,32734.8,COD,2024,10,10.396224559250774
East,Bhubaneswar,Kitchen,Juicer,2,34565,15,58760.5,Credit Card,2023,10,10.981242157531765
South,Coimbatore,Home Decor,Wall Art,5,52040,0,260200.0,COD,2023,12,12.469209688250697
East,Kolkata,Electronics,Camera,2,53365,20,85384.0,Debit Card,2025,2,11.35492572032134
South,Coimbatore,Sports,Tennis Racket,4,15498,0,61992.0,Credit Card,2024,9,11.034776754427373
West,Goa,Kitchen,Mixer Grinder,1,3128,15,2658.8,UPI,2023,10,7.886006210979063
South,Bangalore,Clothing,Men's Wear,5,23664,15,100572.0,COD,2024,3,11.518639110962797
South,Thiruvananthapuram,Groceries,Spices,2,28416,10,51148.8,Net Banking,2025,2,10.842513861303702
East,Bhubaneswar,Furniture,Cabinet,1,59778,15,50811.3,Debit Card,2025,3,10.83589373024306
East,Ranchi,Electronics,Smartwatch,4,31095,15,105723.0,Debit Card,2024,6,11.56858720379513
East,Kolkata,Furniture,Table,2,50258,15,85438.6,UPI,2023,10,11.355564972535122
West,Pune,Home Decor,Clock,2,60360,5,114684.0,Credit Card,2024,9,11.649944518628317
North,Lucknow,Toys,Doll,2,63148,5,119981.2,COD,2024,3,11.695098677428373
South,Hyderabad,Clothing,Men's Wear,5,57913,0,289565.0,COD,2024,5,12.576138529286473
West,Goa,Clothing,Women's Wear,2,58276,10,104896.8,COD,2025,1,11.560741821809842
East,Ranchi,Home Decor,Cushion,5,6472,10,29124.0,Debit Card,2023,11,10.279352190868002
North,Amritsar,Electronics,Headphones,3,3517,5,10023.45,UPI,2025,1,9.212782387826856
West,Pune,Groceries,Spices,3,7479,20,17949.6,Net Banking,2024,3,9.795378819541627
North,Jaipur,Home Decor,Vase,5,72191,10,324859.5,Credit Card,2024,10,12.691151138396748
North,Chandigarh,Clothing,Accessories,1,59846,5,56853.7,COD,2024,12,10.948254169464127
South,Bangalore,Clothing,Women's Wear,1,59828,5,56836.6,Net Banking,2024,6,10.947953357533521
South,Coimbatore,Clothing,Women's Wear,2,27785,0,55570.0,UPI,2025,8,10.92541676143327
East,Patna,Sports,Yoga Mat,3,24823,10,67022.1,COD,2024,10,11.112792615070878
North,Jaipur,Toys,Action Figure,3,50511,10,136379.7,COD,2023,11,11.82320551877888
South,Coimbatore,Kitchen,Juicer,4,39061,20,124995.2,Credit Card,2024,2,11.736038615822348
East,Kolkata,Kitchen,Cookware Set,5,30115,10,135517.5,UPI,2024,3,11.816863441347648
East,Guwahati,Books,Fiction,1,43894,20,35115.2,UPI,2024,10,10.46641784143938
East,Bhubaneswar,Toys,RC Car,3,33800,5,96330.0,Net Banking,2025,2,11.475545456679829
North,Chandigarh,Kitchen,Microwave,2,9711,10,17479.8,Credit Card,2025,3,9.768858414752657
South,Chennai,Toys,Doll,5,57388,20,229552.0,UPI,2025,2,12.343889218640106
South,Thiruvananthapuram,Sports,Yoga Mat,4,27669,20,88540.8,Net Banking,2024,6,11.391230035873928
East,Ranchi,Electronics,Laptop,2,63300,0,126600.0,Debit Card,2024,9,11.748795687555171
East,Bhubaneswar,Home Decor,Wall Art,4,32197,10,115909.2,Credit Card,2025,9,11.660571032357964
East,Bhubaneswar,Toys,RC Car,4,25239,15,85812.6,Debit Card,2024,8,11.359932781073471
South,Thiruvananthapuram,Furniture,Cabinet,4,47304,15,160833.6,Credit Card,2024,2,11.988131786709724
East,Kolkata,Sports,Football,2,19112,10,34401.6,Debit Card,2025,4,10.445887421900709
South,Coimbatore,Electronics,Mobile,5,890,20,3560.0,UPI,2024,4,8.177796683277778
North,Lucknow,Beauty,Foundation,4,62321,5,236819.8,COD,2024,4,12.375059015972308
West,Surat,Clothing,Women's Wear,5,31545,5,149838.75,Credit Card,2025,4,11.917321668670235
South,Thiruvananthapuram,Beauty,Lipstick,1,77022,5,73170.9,COD,2024,9,11.200566746467278
East,Guwahati,Groceries,Oil,5,31480,10,141660.0,Debit Card,2024,2,11.861192158438422
East,Patna,Sports,Dumbbells,3,77903,15,198652.65,UPI,2025,8,12.199318135098611
East,Ranchi,Sports,Football,4,43141,10,155307.6,COD,2024,8,11.953169384293822
East,Patna,Toys,Board Game,2,41901,5,79611.9,Debit Card,2025,6,11.28493141900363
South,Bangalore,Beauty,Foundation,5,74119,10,333535.5,Credit Card,2025,5,12.71750758362648
South,Hyderabad,Furniture,Cabinet,1,45039,0,45039.0,Net Banking,2025,8,10.715306262813572
West,Mumbai,Kitchen,Microwave,3,23107,10,62388.9,Credit Card,2024,2,11.041158682282582
North,Jaipur,Electronics,Mobile,1,19031,5,18079.45,Credit Card,2025,7,9.802586523016963
